Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
0.0.0.0         128.112.32.1    0.0.0.0         UG    98     0        0 eno1
0.0.0.0         10.64.10.1      0.0.0.0         UG    99     0        0 enp1s0
10.42.0.0       0.0.0.0         255.255.255.0   U     600    0        0 wlp3s0
10.64.10.0      0.0.0.0         255.255.255.128 U     99     0        0 enp1s0
10.64.10.0      0.0.0.0         255.255.255.0   U     0      0        0 enp1s0
10.64.10.0      0.0.0.0         255.255.255.0   U     0      0        0 enp1s0
10.64.10.0      0.0.0.0         255.255.255.0   U     0      0        0 enp1s0
10.250.0.0      10.64.10.1      255.255.0.0     UG    0      0        0 enp1s0
128.112.32.0    0.0.0.0         255.255.248.0   U     98     0        0 eno1
169.254.0.0     0.0.0.0         255.255.0.0     U     1000   0        0 wlp3s0
