Kernel IP routing table
Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
0.0.0.0         128.112.32.1    0.0.0.0         UG    98     0        0 enp3s0
0.0.0.0         10.64.10.1      0.0.0.0         UG    99     0        0 enp2s0
0.0.0.0         192.168.0.1     0.0.0.0         UG    100    0        0 eth1
0.0.0.0         192.168.0.1     0.0.0.0         UG    100    0        0 eth0
0.0.0.0         192.168.0.1     0.0.0.0         UG    100    0        0 enx000a3bffff01
10.64.10.0      0.0.0.0         255.255.255.128 U     0      0        0 enp2s0
10.64.10.1      0.0.0.0         255.255.255.255 UH    99     0        0 enp2s0
10.64.10.52     192.168.0.1     255.255.255.255 UGH   0      0        0 enx000a3bffff01
10.64.10.53     192.168.0.1     255.255.255.255 UGH   0      0        0 eth1
10.64.10.54     192.168.0.1     255.255.255.255 UGH   0      0        0 eth0
128.112.32.0    0.0.0.0         255.255.248.0   U     0      0        0 enp3s0
128.112.32.1    0.0.0.0         255.255.255.255 UH    98     0        0 enp3s0
192.168.0.0     0.0.0.0         255.255.255.0   U     0      0        0 enx000a3bffff01
192.168.0.0     0.0.0.0         255.255.255.0   U     0      0        0 eth1
192.168.0.0     0.0.0.0         255.255.255.0   U     0      0        0 eth0
192.168.0.1     0.0.0.0         255.255.255.255 UH    100    0        0 enx000a3bffff01
